"","lakeID","dateSample","taxa","biomass"
"1","EL","2011-05-25","cyclopoid",42056.334
"2","EL","2011-05-25","daphnia",15513.282
"3","EL","2011-05-25","holopedium",45784.167
"4","EL","2011-06-08","chydorus",147.476
"5","EL","2011-06-08","cyclopoid",172482.736
"6","EL","2011-06-08","daphnia",727016.154
"7","EL","2011-06-08","holopedium",294354.15
"8","EL","2011-06-15","cyclopoid",108707.872
"9","EL","2011-06-15","daphnia",53037.28
"10","EL","2011-06-15","holopedium",70251.696
"11","EL","2011-06-22","bosmina",89.88
"12","EL","2011-06-22","calanoid",138.129
"13","EL","2011-06-22","cyclopoid",48607
"14","EL","2011-06-22","daphnia",105619.55
"15","EL","2011-06-22","holopedium",12430.106
"16","EL","2011-06-29","cyclopoid",26877.669
"17","EL","2011-06-29","daphnia",58851.576
"18","EL","2011-06-29","holopedium",7377.282
"19","EL","2011-07-06","cyclopoid",72839.309
"20","EL","2011-07-06","daphnia",224360.22
"21","EL","2011-07-06","holopedium",56924.168
"22","EL","2011-07-13","bosmina",86
"23","EL","2011-07-13","cyclopoid",171535.716
"24","EL","2011-07-13","daphnia",93197.174
"25","EL","2011-07-13","holopedium",12399.124
"26","EL","2011-07-20","cyclopoid",98466.39
"27","EL","2011-07-20","daphnia",128956.308
"28","EL","2011-07-20","holopedium",24445.248
"29","EL","2011-07-27","chydorus",81.158
"30","EL","2011-07-27","cyclopoid",216264.4
"31","EL","2011-07-27","daphnia",32052.317
"32","EL","2011-07-27","holopedium",83927.1
"33","EL","2011-08-03","cyclopoid",230703.708
"34","EL","2011-08-03","daphnia",167250.33
"35","EL","2011-08-03","holopedium",114446.368
"36","EL","2011-08-10","cyclopoid",73168.59
"37","EL","2011-08-10","daphnia",223706.768
"38","EL","2011-08-10","holopedium",48833.83
"39","EL","2011-08-17","chydorus",144.144
"40","EL","2011-08-17","cyclopoid",442326.875
"41","EL","2011-08-17","daphnia",83235.987
"42","EL","2011-08-17","holopedium",22751.799
"43","WL","2011-05-25","cyclopoid",13920.192
"44","WL","2011-05-25","daphnia",563040.636
"45","WL","2011-05-25","holopedium",277518.984
"46","WL","2011-06-08","cyclopoid",23643.306
"47","WL","2011-06-08","daphnia",1163762.624
"48","WL","2011-06-08","holopedium",161755
"49","WL","2011-06-22","cyclopoid",71929.92
"50","WL","2011-06-22","daphnia",86679.986
"51","WL","2011-06-22","holopedium",39932.278
"52","WL","2011-06-29","cyclopoid",34230.97
"53","WL","2011-06-29","daphnia",96972.304
"54","WL","2011-06-29","holopedium",11449.05
"55","WL","2011-07-06","cyclopoid",87802.08
"56","WL","2011-07-06","daphnia",261044.254
"57","WL","2011-07-06","holopedium",49119.035
"58","WL","2011-07-13","cyclopoid",72750.662
"59","WL","2011-07-13","daphnia",311538.504
"60","WL","2011-07-13","holopedium",93357.758
"61","WL","2011-07-20","cyclopoid",111562.048
"62","WL","2011-07-20","daphnia",98099.428
"63","WL","2011-07-20","holopedium",42907.216
"64","WL","2011-07-27","cyclopoid",155051.073
"65","WL","2011-07-27","daphnia",173552.72
"66","WL","2011-07-27","holopedium",49626.78
"67","WL","2011-08-03","cyclopoid",339797.216
"68","WL","2011-08-03","daphnia",126836.19
"69","WL","2011-08-03","holopedium",83039.052
"70","WL","2011-08-10","cyclopoid",321998.404
"71","WL","2011-08-10","daphnia",276534.727
"72","WL","2011-08-10","holopedium",131225.538
"73","WL","2011-08-17","cyclopoid",413049.99
"74","WL","2011-08-17","daphnia",49126.609
"75","WL","2011-08-17","holopedium",27334.485
"76","EL","2012-05-16","daphnia",10566.875
"77","EL","2012-05-16","cyclopoid",2172.27
"78","EL","2012-05-16","holopedium",14366.064
"79","EL","2012-05-22","daphnia",19388.7
"80","EL","2012-05-22","cyclopoid",16914.308
"81","EL","2012-05-22","holopedium",15484.656
"82","EL","2012-05-30","daphnia",53527.76
"83","EL","2012-05-30","cyclopoid",34891.456
"84","EL","2012-05-30","holopedium",30913.264
"85","EL","2012-05-30","bosmina",50.37
"86","EL","2012-06-06","daphnia",9880.156
"87","EL","2012-06-06","cyclopoid",20487.675
"88","EL","2012-06-06","holopedium",8544.879
"89","EL","2012-06-13","daphnia",133916.004
"90","EL","2012-06-13","cyclopoid",246195.86
"91","EL","2012-06-13","holopedium",100129.652
"92","EL","2012-06-20","daphnia",77087.218
"93","EL","2012-06-20","cyclopoid",126146.55
"94","EL","2012-06-20","holopedium",132110.836
"95","EL","2012-06-27","daphnia",153860.877
"96","EL","2012-06-27","cyclopoid",251247.136
"97","EL","2012-06-27","holopedium",80013.356
"98","EL","2012-06-27","bosmina",22.464
