"","lakeID","taxa","production.g.m2.yr","year"
"1","EL","bosmina",0.0279201151632759,2011
"2","EL","calanoid",0.0361628389752926,2011
"3","EL","chydorus",0.0389125009410217,2011
"4","EL","cyclopoid",4.57735613999259,2011
"5","EL","daphnia",4.56053473289355,2011
"6","EL","holopedium",1.97807039935374,2011
"7","WL","cyclopoid",4.74605358581468,2011
"8","WL","daphnia",6.38514426289884,2011
"9","WL","holopedium",1.93827316274472,2011
"10","EL","bosmina",0.0123723584212296,2012
"11","EL","cyclopoid",4.14492448143019,2012
"12","EL","daphnia",2.49547168642808,2012
"13","EL","holopedium",1.82715697381999,2012
"14","WL","bosmina",0.00772149626107818,2012
"15","WL","cyclopoid",5.83945023844796,2012
"16","WL","daphnia",3.62952676888045,2012
"17","WL","holopedium",3.18851584530511,2012
"18","EL","bosmina",0.00586139618212914,2013
"19","EL","calanoid",0.0402779009095218,2013
"20","EL","cyclopoid",1.94113081558404,2013
"21","EL","daphnia",1.21208900268669,2013
"22","EL","holopedium",0.468138652855829,2013
"23","WL","bosmina",0.00636415015433762,2013
"24","WL","chydorus",0.0119818354172675,2013
"25","WL","cyclopoid",1.0482922266716,2013
"26","WL","daphnia",1.2358155369089,2013
"27","WL","holopedium",0.8910597981503,2013
"28","EL","bosmina",0,2014
"29","EL","calanoid",0.0439011982389473,2014
"30","EL","cyclopoid",1.95996595991567,2014
"31","EL","daphnia",1.07498648728917,2014
"32","EL","holopedium",1.21817819788883,2014
"33","WL","cyclopoid",0.79544437216358,2014
"34","WL","daphnia",0.791788145021579,2014
"35","WL","holopedium",0.61627032640171,2014
