,projectID,sampleID,lakeID,siteName,dateSample,dateTimeSample,depthClass,depthTop,depthBottom,taxa,count,meanMass_ug,abundance_num_m3,biomass_gDryMass_m3,metadataID,comments
1,5,BA_DeepHole_20110808_1335_tow_7.5_ZoopSurv.Sample.20110517,BA,DeepHole,8/8/11,8/8/11 13:35,tow,0,7.5,calanoid,153,1.66,9863.85,0.01,ZoopCounts.20110601,
2,5,BA_DeepHole_20110808_1335_tow_7.5_ZoopSurv.Sample.20110517,BA,DeepHole,8/8/11,8/8/11 13:35,tow,0,7.5,cyclopoid,28,8.4,1805.14,0.01,ZoopCounts.20110601,
3,5,BE_DeepHole_20110606_1145_tow_11_ZoopSurv.Sample.20110517,BE,DeepHole,6/6/11,6/6/11 11:45,tow,0,11,calanoid,272,2.59,16995.11,0.04,ZoopCounts.20110601,
4,5,BE_DeepHole_20110606_1145_tow_11_ZoopSurv.Sample.20110517,BE,DeepHole,6/6/11,6/6/11 11:45,tow,0,11,cyclopoid,76,13.05,4748.63,0.06,ZoopCounts.20110601,
5,5,BE_DeepHole_20110606_1145_tow_11_ZoopSurv.Sample.20110517,BE,DeepHole,6/6/11,6/6/11 11:45,tow,0,11,daphnia,9,4.51,562.33,0.002536145,ZoopCounts.20110601,
6,5,BE_DeepHole_20110606_1145_tow_11_ZoopSurv.Sample.20110517,BE,DeepHole,6/6/11,6/6/11 11:45,tow,0,11,holopedium,37,4.33,2311.83,0.01,ZoopCounts.20110601,
7,5,BE_DeepHole_20110613_1050_tow_9_ZoopSurv.Sample.20110517,BE,DeepHole,6/13/11,6/13/11 10:50,tow,0,9,bosmina,93,1.05,18881.17,0.01,ZoopCounts.20110601,
8,5,BE_DeepHole_20110613_1050_tow_9_ZoopSurv.Sample.20110517,BE,DeepHole,6/13/11,6/13/11 10:50,tow,0,9,calanoid,198,2.08,40198.64,0.08,ZoopCounts.20110601,
9,5,BE_DeepHole_20110613_1050_tow_9_ZoopSurv.Sample.20110517,BE,DeepHole,6/13/11,6/13/11 10:50,tow,0,9,cyclopoid,49,5.19,9948.14,0.05,ZoopCounts.20110601,
10,5,BE_DeepHole_20110613_1050_tow_9_ZoopSurv.Sample.20110517,BE,DeepHole,6/13/11,6/13/11 10:50,tow,0,9,daphnia,19,4.85,3857.44,0.01,ZoopCounts.20110601,
11,5,BE_DeepHole_20110613_1050_tow_9_ZoopSurv.Sample.20110517,BE,DeepHole,6/13/11,6/13/11 10:50,tow,0,9,holopedium,131,5.23,26596.07,0.13,ZoopCounts.20110601,
12,5,BE_DeepHole_20110623_0915_tow_8.5_ZoopSurv.Sample.20110517,BE,DeepHole,6/23/11,6/23/11 9:15,tow,0,8.5,bosmina,132,1.02,12344,0.01,ZoopCounts.20110601,
13,5,BE_DeepHole_20110623_0915_tow_8.5_ZoopSurv.Sample.20110517,BE,DeepHole,6/23/11,6/23/11 9:15,tow,0,8.5,calanoid,196,2.17,18328.98,0.03,ZoopCounts.20110601,
14,5,BE_DeepHole_20110623_0915_tow_8.5_ZoopSurv.Sample.20110517,BE,DeepHole,6/23/11,6/23/11 9:15,tow,0,8.5,cyclopoid,90,5.58,8416.36,0.04,ZoopCounts.20110601,
15,5,BE_DeepHole_20110623_0915_tow_8.5_ZoopSurv.Sample.20110517,BE,DeepHole,6/23/11,6/23/11 9:15,tow,0,8.5,daphnia,13,7.9,1215.69,0.009603984,ZoopCounts.20110601,
16,5,BE_DeepHole_20110623_0915_tow_8.5_ZoopSurv.Sample.20110517,BE,DeepHole,6/23/11,6/23/11 9:15,tow,0,8.5,diaphanosoma,2,1.45,187.02,0.000271188,ZoopCounts.20110601
17,5,BE_DeepHole_20110623_0915_tow_8.5_ZoopSurv.Sample.20110517,BE,DeepHole,6/23/11,6/23/11 9:15,tow,0,8.5,holopedium,170,9.04,15897.58,0.14,ZoopCounts.20110601
18,5,BE_DeepHole_20110627_1120_tow_9_ZoopSurv.Sample.20110517,BE,DeepHole,6/27/11,6/27/11 11:20,tow,0,9,bosmina,24,0.89,1139.27,0.001013955,ZoopCounts.20110601
19,5,BE_DeepHole_20110627_1120_tow_9_ZoopSurv.Sample.20110517,BE,DeepHole,6/27/11,6/27/11 11:20,tow,0,9,calanoid,125,2.49,5933.72,0.01,ZoopCounts.20110601
20,5,BE_DeepHole_20110627_1120_tow_9_ZoopSurv.Sample.20110517,BE,DeepHole,6/27/11,6/27/11 11:20,tow,0,9,cyclopoid,43,7.07,2041.2,0.01,ZoopCounts.20110601
21,5,BE_DeepHole_20110627_1120_tow_9_ZoopSurv.Sample.20110517,BE,DeepHole,6/27/11,6/27/11 11:20,tow,0,9,daphnia,12,7.99,569.63,0.004551388,ZoopCounts.20110601
22,5,BE_DeepHole_20110627_1120_tow_9_ZoopSurv.Sample.20110517,BE,DeepHole,6/27/11,6/27/11 11:20,tow,0,9,diaphanosoma,2,1.16,94.93,0.000110128,ZoopCounts.20110601
23,5,BE_DeepHole_20110627_1120_tow_9_ZoopSurv.Sample.20110517,BE,DeepHole,6/27/11,6/27/11 11:20,tow,0,9,holopedium,14,9.88,664.57,0.006566028,ZoopCounts.20110601
24,5,BE_DeepHole_20110705_0925_tow_9_ZoopSurv.Sample.20110517,BE,DeepHole,7/5/11,7/5/11 9:25,tow,0,9,bosmina,12,0.85,667,0.000566954,ZoopCounts.20110601
25,5,BE_DeepHole_20110705_0925_tow_9_ZoopSurv.Sample.20110517,BE,DeepHole,7/5/11,7/5/11 9:25,tow,0,9,calanoid,336,2.33,18676.15,0.04,ZoopCounts.20110601
26,5,BE_DeepHole_20110705_0925_tow_9_ZoopSurv.Sample.20110517,BE,DeepHole,7/5/11,7/5/11 9:25,tow,0,9,cyclopoid,294,6.04,16341.63,0.09,ZoopCounts.20110601
27,5,BE_DeepHole_20110705_0925_tow_9_ZoopSurv.Sample.20110517,BE,DeepHole,7/5/11,7/5/11 9:25,tow,0,9,daphnia,36,7.79,2001.01,0.01,ZoopCounts.20110601
28,5,BE_DeepHole_20110705_0925_tow_9_ZoopSurv.Sample.20110517,BE,DeepHole,7/5/11,7/5/11 9:25,tow,0,9,diaphanosoma,19,0.81,1056.08,0.000855432,ZoopCounts.20110601
29,5,BE_DeepHole_20110705_0925_tow_9_ZoopSurv.Sample.20110517,BE,DeepHole,7/5/11,7/5/11 9:25,tow,0,9,holopedium,22,13.95,1222.84,0.01,ZoopCounts.20110601
30,5,BE_DeepHole_20110712_0935_tow_8_ZoopSurv.Sample.20110517,BE,DeepHole,7/12/11,7/12/11 9:35,tow,0,8,bosmina,4,0.59,375.26,0.000221406,ZoopCounts.20110601
31,5,BE_DeepHole_20110712_0935_tow_8_ZoopSurv.Sample.20110517,BE,DeepHole,7/12/11,7/12/11 9:35,tow,0,8,calanoid,203,1.82,19044.7,0.03,ZoopCounts.20110601
