"","lakeID","dateSample","taxa","length_mm"
"1","EL","5/16/13","Cyclopoid",0.330262654534728
"2","EL","5/16/13","Cyclopoid",0.580549708496804
"3","EL","5/16/13","Cyclopoid",0.622870081641054
"4","EL","5/16/13","Cyclopoid",0.736667483764225
"5","EL","5/16/13","Cyclopoid",0.485211576407965
"6","EL","5/16/13","Cyclopoid",0.286375339520437
"7","EL","5/16/13","Cyclopoid",0.271887394274636
"8","EL","5/16/13","Cyclopoid",0.401328564444171
"9","EL","5/16/13","Cyclopoid",0.38243544066072
"10","EL","5/16/13","Cyclopoid",0.351363613319662
"11","EL","5/16/13","Cyclopoid",0.415712566196752
"12","EL","5/16/13","Cyclopoid",0.497247321666648
"13","EL","5/16/13","Cyclopoid",0.330040123257072
"14","EL","5/16/13","Cyclopoid",0.379304890259589
"15","EL","5/16/13","Cyclopoid",0.592330699889618
"16","EL","5/16/13","Cyclopoid",0.390517792197297
"17","EL","5/16/13","Cyclopoid",0.389208642339992
"18","EL","5/16/13","Cyclopoid",0.457108345281789
"19","EL","5/16/13","Cyclopoid",0.455290451727676
"20","EL","5/16/13","Cyclopoid",0.472820361198351
"21","EL","5/16/13","Cyclopoid",0.354542248512808
"22","EL","5/16/13","Cyclopoid",0.301656579020142
"23","EL","5/16/13","Cyclopoid",0.324910476900407
"24","EL","5/16/13","Cyclopoid",0.5041727171017
"25","EL","5/16/13","Cyclopoid",0.457920021273409
"26","EL","5/16/13","Daphnia",1.25200500096979
"27","EL","5/16/13","Daphnia",0.776631153977829
"28","EL","5/16/13","Daphnia",0.610403105029853
"29","EL","5/16/13","Daphnia",0.503592091454192
"30","EL","5/16/13","Daphnia",0.749060224981876
"31","EL","5/16/13","Daphnia",0.571335175997993
"32","EL","5/16/13","Daphnia",0.578525902731293
"33","EL","5/16/13","Daphnia",0.67246767494093
"34","EL","5/16/13","Daphnia",0.690777630176929
"35","EL","5/16/13","Daphnia",0.38663260212327
"36","EL","5/16/13","Daphnia",0.783726162967595
"37","EL","5/16/13","Daphnia",0.405625828082231
"38","EL","5/16/13","Daphnia",0.590988717245428
"39","EL","5/16/13","Daphnia",0.552964400270479
"40","EL","5/16/13","Daphnia",1.28927946362253
"41","EL","5/16/13","Daphnia",0.606111810856467
"42","EL","5/16/13","Daphnia",0.531146134720834
"43","EL","5/16/13","Daphnia",0.408716536918395
"44","EL","5/16/13","Daphnia",0.588441482618648
"45","EL","5/16/13","Daphnia",0.588867310679162
"46","EL","5/16/13","Daphnia",0.47355011266217
"47","EL","5/16/13","Daphnia",0.622852717519881
"48","EL","5/16/13","Daphnia",0.543679542321472
"49","EL","5/16/13","Daphnia",0.824978892852498
"50","EL","5/16/13","Daphnia",0.549688670079859
"51","EL","5/16/13","Holopedium",0.286209423224731
"52","EL","5/16/13","Holopedium",0.217220349285483
"53","EL","5/16/13","Holopedium",0.288595832018981
"54","EL","5/16/13","Holopedium",0.265765347471342
"55","EL","5/16/13","Holopedium",0.22483005674496
"56","EL","5/16/13","Holopedium",0.337664356977108
"57","EL","5/16/13","Holopedium",0.211866044997251
"58","EL","5/16/13","Holopedium",0.188768426737549
"59","EL","5/16/13","Holopedium",0.368647325077155
"60","EL","5/16/13","Holopedium",0.304627273623405
"61","EL","5/16/13","Holopedium",0.160793798539216
"62","EL","5/16/13","Holopedium",0.206200919658144
"63","EL","5/16/13","Holopedium",0.328663587192249
"64","EL","5/16/13","Holopedium",0.399468704440433
"65","EL","5/16/13","Holopedium",0.229048663017493
"66","EL","5/16/13","Holopedium",0.273845502962173
"67","EL","5/16/13","Holopedium",0.101890196219528
"68","EL","5/16/13","Holopedium",0.146330268335119
"69","EL","5/16/13","Holopedium",0.227903117272035
"70","EL","5/16/13","Holopedium",0.277515955277978
"71","EL","5/16/13","Holopedium",0.0909194164908353
"72","EL","5/16/13","Holopedium",0.196467342627107
"73","EL","5/16/13","Holopedium",0.197515150829714
"74","EL","5/16/13","Holopedium",0.139839426439235
"75","EL","5/16/13","Holopedium",0.0807025568909573
"76","EL","5/22/13","Cyclopoid",0.313725911296024
"77","EL","5/22/13","Cyclopoid",0.762661685944487
"78","EL","5/22/13","Cyclopoid",0.563222406479026
"79","EL","5/22/13","Cyclopoid",0.751660830197631
"80","EL","5/22/13","Cyclopoid",0.33625615466588
"81","EL","5/22/13","Cyclopoid",0.344366153132897
"82","EL","5/22/13","Cyclopoid",0.379939993509027
"83","EL","5/22/13","Cyclopoid",0.389298758789799
"84","EL","5/22/13","Cyclopoid",0.214845434949204
"85","EL","5/22/13","Cyclopoid",0.482256454270347
